0.00.429.150 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.503.981 I srv    load_model: loading model 'bartowski/Qwen_Qwen3.6-35B-A3B-GGUF:Q2_K'
0.03.925.960 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.03.925.962 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.03.925.962 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.04.029.905 I srv    load_model: loaded multimodal model, '/home/riverwest/.cache/huggingface/hub/models--bartowski--Qwen_Qwen3.6-35B-A3B-GGUF/snapshots/5c2410d71524f4f72b023ce8daf7a80528226d5f/mmproj-Qwen_Qwen3.6-35B-A3B-bf16.gguf'
0.04.043.210 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 24576, kv_unified = 'false'
0.04.051.299 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.051.334 I srv  llama_server: model loaded
0.04.051.337 I srv  llama_server: listening on http://127.0.0.1:8080
0.19.948.489 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.19.950.433 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.20.950.861 W srv          stop: cancel task, id_task = 1
0.21.064.125 I slot      release: id  0 | task 1 | stop processing: n_tokens = 4096, truncated = 0
0.31.606.941 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.234 (> 0.100 thold), f_keep = 1.000
0.31.609.160 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.34.983.053 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  12288, progress = 0.93, t =   3.37 s / 3642.10 tokens per second
0.35.223.459 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  12929, progress = 0.97, t =   3.61 s / 3577.20 tokens per second
0.35.332.634 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  13374, progress = 1.00, t =   3.72 s / 3591.82 tokens per second
0.35.417.162 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  13441, progress = 1.00, t =   3.81 s / 3529.69 tokens per second
0.35.982.126 I slot print_timing: id  0 | task 6 | prompt eval time =    3845.40 ms / 13445 tokens (    0.29 ms per token,  3496.38 tokens per second)
0.35.982.129 I slot print_timing: id  0 | task 6 |        eval time =     527.54 ms /    96 tokens (    5.50 ms per token,   181.98 tokens per second)
0.35.982.129 I slot print_timing: id  0 | task 6 |       total time =    4372.94 ms / 13541 tokens
0.35.982.134 I slot print_timing: id  0 | task 6 |    graphs reused =         95
0.35.983.154 I slot      release: id  0 | task 6 | stop processing: n_tokens = 17636, truncated = 0
0.36.059.873 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
0.36.061.687 I slot launch_slot_: id  0 | task 112 | processing task, is_child = 0
0.36.615.109 I slot print_timing: id  0 | task 112 | prompt eval time =      88.09 ms /    52 tokens (    1.69 ms per token,   590.28 tokens per second)
0.36.615.112 I slot print_timing: id  0 | task 112 |        eval time =     465.31 ms /    83 tokens (    5.61 ms per token,   178.38 tokens per second)
0.36.615.112 I slot print_timing: id  0 | task 112 |       total time =     553.40 ms /   135 tokens
0.36.615.113 I slot print_timing: id  0 | task 112 |    graphs reused =        176
0.36.616.070 I slot      release: id  0 | task 112 | stop processing: n_tokens = 17770, truncated = 0
0.36.637.511 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 10968738102
0.36.768.118 I slot launch_slot_: id  0 | task 198 | processing task, is_child = 0
0.39.912.808 I slot print_timing: id  0 | task 198 | n_decoded =    608, tg = 202.63 t/s, tg_3s = 202.63 t/s
0.42.916.772 I slot print_timing: id  0 | task 198 | n_decoded =   1216, tg = 202.51 t/s, tg_3s = 202.40 t/s
0.45.486.011 I slot print_timing: id  0 | task 198 | prompt eval time =     144.10 ms /   288 tokens (    0.50 ms per token,  1998.60 tokens per second)
0.45.486.015 I slot print_timing: id  0 | task 198 |        eval time =    8573.77 ms /  1734 tokens (    4.94 ms per token,   202.24 tokens per second)
0.45.486.015 I slot print_timing: id  0 | task 198 |       total time =    8717.87 ms /  2022 tokens
0.45.486.016 I slot print_timing: id  0 | task 198 |    graphs reused =       1902
0.45.486.040 I slot      release: id  0 | task 198 | stop processing: n_tokens = 2021, truncated = 0
0.48.224.745 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 10977608071
0.48.301.920 I slot launch_slot_: id  0 | task 1937 | processing task, is_child = 0
0.51.555.350 I slot print_timing: id  0 | task 1937 | n_decoded =    556, tg = 185.01 t/s, tg_3s = 185.01 t/s
0.51.809.869 I slot print_timing: id  0 | task 1937 | prompt eval time =     248.22 ms /   547 tokens (    0.45 ms per token,  2203.73 tokens per second)
0.51.809.871 I slot print_timing: id  0 | task 1937 |        eval time =    3259.71 ms /   603 tokens (    5.41 ms per token,   184.99 tokens per second)
0.51.809.872 I slot print_timing: id  0 | task 1937 |       total time =    3507.93 ms /  1150 tokens
0.51.809.873 I slot print_timing: id  0 | task 1937 |    graphs reused =       2501
0.51.810.537 I slot      release: id  0 | task 1937 | stop processing: n_tokens = 18174, truncated = 0
0.51.884.965 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.994 (> 0.100 thold), f_keep = 1.000
0.51.886.623 I slot launch_slot_: id  0 | task 2544 | processing task, is_child = 0
0.52.484.451 I slot print_timing: id  0 | task 2544 | prompt eval time =     119.40 ms /   105 tokens (    1.14 ms per token,   879.42 tokens per second)
0.52.484.455 I slot print_timing: id  0 | task 2544 |        eval time =     478.42 ms /    89 tokens (    5.38 ms per token,   186.03 tokens per second)
0.52.484.455 I slot print_timing: id  0 | task 2544 |       total time =     597.81 ms /   194 tokens
0.52.484.456 I slot print_timing: id  0 | task 2544 |    graphs reused =       2588
0.52.485.224 I slot      release: id  0 | task 2544 | stop processing: n_tokens = 18367, truncated = 0
0.53.142.844 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.998 (> 0.100 thold), f_keep = 1.000
0.53.145.086 I slot launch_slot_: id  0 | task 2636 | processing task, is_child = 0
0.53.744.367 I slot print_timing: id  0 | task 2636 | prompt eval time =      84.95 ms /    32 tokens (    2.65 ms per token,   376.67 tokens per second)
0.53.744.371 I slot print_timing: id  0 | task 2636 |        eval time =     514.31 ms /    95 tokens (    5.41 ms per token,   184.71 tokens per second)
