0.00.452.842 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.528.892 I srv    load_model: loading model 'bartowski/Qwen_Qwen3.6-35B-A3B-GGUF:Q3_K_M'
0.05.320.889 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.05.320.893 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.05.320.893 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.05.444.077 I srv    load_model: loaded multimodal model, '/home/riverwest/.cache/huggingface/hub/models--bartowski--Qwen_Qwen3.6-35B-A3B-GGUF/snapshots/5c2410d71524f4f72b023ce8daf7a80528226d5f/mmproj-Qwen_Qwen3.6-35B-A3B-bf16.gguf'
0.05.461.961 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 24576, kv_unified = 'false'
0.05.470.425 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.05.470.460 I srv  llama_server: model loaded
0.05.470.464 I srv  llama_server: listening on http://127.0.0.1:8080
0.33.486.350 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.33.488.282 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.36.643.174 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8192, progress = 0.47, t =   3.15 s / 2596.62 tokens per second
0.37.421.221 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10240, progress = 0.58, t =   3.93 s / 2603.67 tokens per second
0.38.198.512 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12288, progress = 0.70, t =   4.71 s / 2608.80 tokens per second
0.38.931.304 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14336, progress = 0.82, t =   5.44 s / 2633.84 tokens per second
0.39.693.564 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16384, progress = 0.93, t =   6.21 s / 2640.34 tokens per second
0.39.997.072 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17029, progress = 0.97, t =   6.51 s / 2616.32 tokens per second
0.40.190.179 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17474, progress = 1.00, t =   6.70 s / 2607.33 tokens per second
0.40.281.955 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17541, progress = 1.00, t =   6.79 s / 2581.97 tokens per second
0.41.175.402 I slot print_timing: id  0 | task 1 | prompt eval time =    6837.62 ms / 17545 tokens (    0.39 ms per token,  2565.95 tokens per second)
