0.00.428.254 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.502.008 I srv    load_model: loading model 'bartowski/Qwen_Qwen3.6-35B-A3B-GGUF:Q5_K_M'
0.19.657.475 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.19.657.481 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.19.657.481 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.20.182.804 I srv    load_model: loaded multimodal model, '/home/riverwest/.cache/huggingface/hub/models--bartowski--Qwen_Qwen3.6-35B-A3B-GGUF/snapshots/5c2410d71524f4f72b023ce8daf7a80528226d5f/mmproj-Qwen_Qwen3.6-35B-A3B-bf16.gguf'
0.20.215.207 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 24576, kv_unified = 'false'
0.20.225.321 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.20.225.484 I srv  llama_server: model loaded
0.20.225.541 I srv  llama_server: listening on http://127.0.0.1:8080
0.47.333.491 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.47.336.247 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.51.059.721 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6144, progress = 0.35, t =   3.72 s / 1650.12 tokens per second
0.52.290.681 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8192, progress = 0.47, t =   4.95 s / 1653.48 tokens per second
0.53.494.597 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10240, progress = 0.58, t =   6.16 s / 1662.79 tokens per second
0.54.713.070 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12288, progress = 0.70, t =   7.38 s / 1665.76 tokens per second
0.55.847.974 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14336, progress = 0.82, t =   8.51 s / 1684.27 tokens per second
0.57.025.634 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16384, progress = 0.93, t =   9.69 s / 1690.93 tokens per second
0.57.511.300 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17031, progress = 0.97, t =  10.18 s / 1673.80 tokens per second
0.57.810.394 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17476, progress = 1.00, t =  10.47 s / 1668.49 tokens per second
0.57.959.362 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17543, progress = 1.00, t =  10.62 s / 1651.40 tokens per second
0.59.333.528 I slot print_timing: id  0 | task 1 | prompt eval time =   10675.72 ms / 17547 tokens (    0.61 ms per token,  1643.64 tokens per second)
0.59.333.531 I slot print_timing: id  0 | task 1 |        eval time =    1321.53 ms /    95 tokens (   13.91 ms per token,    71.89 tokens per second)
0.59.333.531 I slot print_timing: id  0 | task 1 |       total time =   11997.25 ms / 17642 tokens
0.59.333.536 I slot print_timing: id  0 | task 1 |    graphs reused =         94
0.59.456.586 I slot      release: id  0 | task 1 | stop processing: n_tokens = 17641, truncated = 0
0.59.540.798 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
0.59.543.108 I slot launch_slot_: id  0 | task 108 | processing task, is_child = 0
1.00.773.392 I slot print_timing: id  0 | task 108 | prompt eval time =     229.18 ms /    52 tokens (    4.41 ms per token,   226.90 tokens per second)
1.00.773.396 I slot print_timing: id  0 | task 108 |        eval time =    1001.09 ms /    74 tokens (   13.53 ms per token,    73.92 tokens per second)
1.00.773.396 I slot print_timing: id  0 | task 108 |       total time =    1230.26 ms /   126 tokens
1.00.773.397 I slot print_timing: id  0 | task 108 |    graphs reused =        166
1.00.774.157 I slot      release: id  0 | task 108 | stop processing: n_tokens = 17766, truncated = 0
1.01.701.508 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.999 (> 0.100 thold), f_keep = 1.000
1.01.703.946 I slot launch_slot_: id  0 | task 185 | processing task, is_child = 0
1.02.245.874 I slot print_timing: id  0 | task 185 | prompt eval time =     165.16 ms /    18 tokens (    9.18 ms per token,   108.99 tokens per second)
1.02.245.877 I slot print_timing: id  0 | task 185 |        eval time =     376.74 ms /    28 tokens (   13.46 ms per token,    74.32 tokens per second)
1.02.245.878 I slot print_timing: id  0 | task 185 |       total time =     541.90 ms /    46 tokens
1.02.245.879 I slot print_timing: id  0 | task 185 |    graphs reused =        192
1.02.246.639 I slot      release: id  0 | task 185 | stop processing: n_tokens = 17811, truncated = 0
1.02.270.240 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 9457865648
1.02.400.258 I slot launch_slot_: id  0 | task 216 | processing task, is_child = 0
1.05.786.729 I slot print_timing: id  0 | task 216 | n_decoded =    234, tg =  77.91 t/s, tg_3s =  77.91 t/s
1.08.791.924 I slot print_timing: id  0 | task 216 | n_decoded =    468, tg =  77.86 t/s, tg_3s =  77.80 t/s
1.11.794.475 I slot print_timing: id  0 | task 216 | n_decoded =    695, tg =  77.11 t/s, tg_3s =  75.60 t/s
1.14.794.724 I slot print_timing: id  0 | task 216 | n_decoded =    924, tg =  76.91 t/s, tg_3s =  76.33 t/s
1.17.805.912 I slot print_timing: id  0 | task 216 | n_decoded =   1153, tg =  76.74 t/s, tg_3s =  76.05 t/s
1.19.907.709 I slot print_timing: id  0 | task 216 | prompt eval time =     380.75 ms /   288 tokens (    1.32 ms per token,   756.40 tokens per second)
1.19.907.712 I slot print_timing: id  0 | task 216 |        eval time =   17126.67 ms /  1312 tokens (   13.05 ms per token,    76.61 tokens per second)
1.19.907.713 I slot print_timing: id  0 | task 216 |       total time =   17507.42 ms /  1600 tokens
1.19.907.713 I slot print_timing: id  0 | task 216 |    graphs reused =       1497
1.19.907.740 I slot      release: id  0 | task 216 | stop processing: n_tokens = 1599, truncated = 0
1.22.637.481 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 9475526748
1.22.715.481 I slot launch_slot_: id  0 | task 1533 | processing task, is_child = 0
1.26.335.446 I slot print_timing: id  0 | task 1533 | n_decoded =    224, tg =  74.45 t/s, tg_3s =  74.45 t/s
1.29.341.230 I slot print_timing: id  0 | task 1533 | n_decoded =    450, tg =  74.82 t/s, tg_3s =  75.19 t/s
1.30.703.474 I slot print_timing: id  0 | task 1533 | prompt eval time =     611.26 ms /   534 tokens (    1.14 ms per token,   873.61 tokens per second)
1.30.703.491 I slot print_timing: id  0 | task 1533 |        eval time =    7376.71 ms /   553 tokens (   13.34 ms per token,    74.97 tokens per second)
1.30.703.493 I slot print_timing: id  0 | task 1533 |       total time =    7987.97 ms /  1087 tokens
1.30.703.494 I slot print_timing: id  0 | task 1533 |    graphs reused =       2046
1.30.704.120 I slot      release: id  0 | task 1533 | stop processing: n_tokens = 18117, truncated = 0
1.30.790.856 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.995 (> 0.100 thold), f_keep = 1.000
1.30.793.053 I slot launch_slot_: id  0 | task 2090 | processing task, is_child = 0
